Crop,NuContAvailable,YieldUnit,AvMoisture%,AvN%,AvP%,AvK%,YieldUnitWeight(lb)_set
Acorn,"N,P,K",lb of fruit,27.9,1.364771151,0.109570042,0.747572816,1
"Alfalfa + Orchardgrass, for hay","N,P",ton,9.7,2.479714286,0.267857143,#DIV/0!,"2,000"
"Alfalfa + Orchardgrass, for hay (cut 1)","N,P,K",ton,7.95,2.144,0.2,1.49,"2,000"
"Alfalfa + Smooth Brome, for green chop","N,P,K",ton,77.63,3.322074074,0.310555556,2.8,"2,000"
"Alfalfa + Smooth Brome, for hay","N,P,K",ton,11.58,2.41770852,0.271053812,1.897746637,"2,000"
"Alfalfa + Smooth Brome, for hay (cut 1)","N,P,K",ton,10.1,2.192,0.295,1.4,"2,000"
"Alfalfa + Smooth Brome, for hay (cut 2)","N,P",ton,10.2,2.192,0.21,#DIV/0!,"2,000"
"Alfalfa + Timothy, for green chop (50% alfalfa)","N,P,K",ton,78.08,3.364748858,0.368824201,2.239360731,"2,000"
"Alfalfa + Timothy, for hay","N,P,K",ton,10.37,2.172886905,0.211071429,2.16,"2,000"
"Alfalfa + Timothy, for hay (cut 1)","N,P",ton,9.8,1.792,0.14,#DIV/0!,"2,000"
"Alfalfa + Timothy, for hay (cut 2)","N,P",ton,9,2.8,0.21,#DIV/0!,"2,000"
"Alfalfa, for green chop","N,P,K",ton,76.5,3.206196721,0.27897541,2.608032787,"2,000"
"Alfalfa, for green chop (early bloom)","N,P,K",ton,76.18,3.351777778,0.292777778,2.717777778,"2,000"
"Alfalfa, for green chop (early bloom, cut 1)","N,P,K",ton,76.1,2.952,0.31,3.1,"2,000"
"Alfalfa, for green chop (early bloom, cut 2)","N,P,K",ton,74.6,2.864,0.38,2.95,"2,000"
"Alfalfa, for green chop (early bloom, cut 3)",N,ton,74.35,3.288,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for green chop (full bloom)","N,P,K",ton,75.05,2.796419204,0.270739477,2.890978261,"2,000"
"Alfalfa, for green chop (full bloom, cut 1)","N,P,K",ton,75.3,2.528,0.4,2.88,"2,000"
"Alfalfa, for green chop (full bloom, cut 2)",N,ton,71.4,2.256,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for green chop (full bloom, cut 3)",N,ton,71.2,2.208,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for green chop (mid bloom)","N,P,K",ton,75.08,3.158580237,0.29166996,2.713478261,"2,000"
"Alfalfa, for green chop (mid bloom, cut 1)",N,ton,77.9,2.496,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for green chop (mid bloom, cut 2)","P,K",ton,76.8,#DIV/0!,0.43,3.25,"2,000"
"Alfalfa, for green chop (pre bloom)","N,P,K",ton,78.34,3.487117588,0.343919598,2.267952261,"2,000"
"Alfalfa, for green chop (pre bloom, cut 1)","N,P,K",ton,82.9,3.488,0.39,3.4,"2,000"
"Alfalfa, for green chop (pre bloom, cut 2)","N,P,K",ton,76.95,3.376,0.375,3.39,"2,000"
"Alfalfa, for green chop (pre bloom, cut 3)",N,ton,76.8,3.92,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay","N,P,K",ton,9.65,2.78879558,0.261298343,2.119198895,"2,000"
"Alfalfa, for hay (cut 1)","N,P,K",ton,9.9,2.616,0.35,2.48,"2,000"
"Alfalfa, for hay (cut 2)","N,P,K",ton,9.35,2.856,0.285,1.92,"2,000"
"Alfalfa, for hay (cut 3)","N,P,K",ton,10.3,2.968,0.19,2.47,"2,000"
"Alfalfa, for hay (early bloom)","N,P,K",ton,10.58,3.054446409,0.228798343,2.344198895,"2,000"
"Alfalfa, for hay (early bloom, cut 1)","N,P,K",ton,9.3,2.736,0.255,2.465,"2,000"
"Alfalfa, for hay (early bloom, cut 2)","N,P,K",ton,12,3.168,0.255,2.54,"2,000"
"Alfalfa, for hay (early bloom, cut 3)","N,P,K",ton,12.95,3.248,0.27,2.84,"2,000"
"Alfalfa, for hay (full bloom)","N,P,K",ton,11.12,2.618647514,0.238273481,1.764198895,"2,000"
"Alfalfa, for hay (full bloom, cut 1)","N,P,K",ton,15.25,2.392,0.22,1.99,"2,000"
"Alfalfa, for hay (full bloom, cut 2)",N,ton,12.7,2.592,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (full bloom, cut 3)",N,ton,12.35,1.96,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (mid bloom)","N,P,K",ton,10.76,2.805646409,0.251298343,1.779198895,"2,000"
"Alfalfa, for hay (mid bloom, cut 1)","N,P",ton,11.05,2.424,0.25,#DIV/0!,"2,000"
"Alfalfa, for hay (mid bloom, cut 2)","N,P,K",ton,9.2,2.736,0.31,3.25,"2,000"
"Alfalfa, for hay (mid bloom, cut 3)",N,ton,11.6,3.008,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (pre bloom)","N,P,K",ton,11.34,3.388963536,0.336160221,2.436160221,"2,000"
"Alfalfa, for hay (pre bloom, cut 1)","N,P,K",ton,17.4,2.528,0.29,2.8,"2,000"
"Alfalfa, for hay (pre bloom, cut 2)",N,ton,14,2.496,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (pre bloom, cut 3)",N,ton,15.4,3.168,#DIV/0!,#DIV/0!,"2,000"
"Alfalfa, for hay (late vegetative, cut 1)","N,P,K",ton,12.4,3.184,0.28,2.8,"2,000"
"Alfalfa, for hay (late vegetative, cut 2)","N,P,K",ton,13,3.216,0.37,3.39,"2,000"
"Alfalfa, for hay (late vegetative, cut 3)","N,P",ton,14,3.056,0.22,#DIV/0!,"2,000"
"Alfalfa, for seed",N,cwt,11.7,6.014795017,#DIV/0!,#DIV/0!,100
"Alfalfa, for silage (tenth bloom, cut 2)","N,P,K",ton,75.9,3.34,0.38,2.88,"2,000"
Almonds (without shell),"N,P,K",lb of seed,4.42,3.339610797,0.544046872,0.765850596,1
Alomond (with shell),N,lb of fruit,15,3.3,#DIV/0!,#DIV/0!,1
Apple,"N,P,K",lb of fruit ,81.78,0.338793093,0.051779714,0.747809583,48
Apricot,"N,P,K",lb of fruit ,86.35,1.641025641,0.139194139,2.168498169,24
"Artichoke-Globe, for bud","N,P,K",lb of fruit ,83,2.541176471,0.509411765,2,23
"Artichoke-Jerusalum, for tuber","N,P,K",lb of tuber,80.07,1.52,0.303333333,2.016666667,10
"Asparagus-Green, for shoot or spear (immature)","N,P",lb of stem ,92,5.55,0.69,#DIV/0!,30
"Asparagus-White, for shoot or spear (immature)","N,P",lb of stem ,93,4.342857143,0.742857143,#DIV/0!,30
Avocado (all varieties),"N,P,K",lb of fruit ,74.27,1.231247571,0.159347066,2.328021765,55
Avocado (Florida),"N,P,K",lb of fruit ,79.73,1.255056734,0.192402565,2.407498767,55
Avocadoe (California),"N,P,K",lb of fruit ,72.56,1.2303207,0.153061224,2.310495627,55
"Bahiagrass, for green chop","N,P,K",ton,69.7,1.322666667,0.173333333,2.055,"2,000"
"Bahiagrass, for hay","N,P",ton,9.83,1.52,0.2,#DIV/0!,"2,000"
"Bahiagrass, for hay (mature)",N,ton,9.1,0.752,#DIV/0!,#DIV/0!,"2,000"
Banana,"N,P,K",lb of fruit ,74.26,0.64024864,0.077700078,1.538461539,40
"Barley-2 row, for grain","N,P,K",bu,13.3,2.32,0.35,0.49,48
"Barley-2 row, for straw","N,P,K",lb straw/bu grain,9.2,0.688,0.08,2.11,
"Barley-6 row, for grain (excluding Pacific Coast)","N,P,K",bu,11.72,2.109338703,0.419356823,0.537024609,48
"Barley-6 row, for grain (Pacific coast only)","N,P,K",bu,10.77,1.614054134,0.375691509,0.58,48
"Barley-6 row, for green chop (boot)","N,P,K",ton,79.65,2.204648649,0.37018018,1.578288288,"2,000"
"Barley-6 row, for hay","N,P,K",ton,11.28,1.418136564,0.260825991,1.489196035,"2,000"
"Barley-6 row, for straw","N,P,K",lb straw/bu grain,11.25,0.686047242,0.095555556,1.793888889,
"Bean, for seed (dry)","N,P,K",cwt,11.4,4.224,0.54,2.69,100
"Bean-Faba, for pod with seeds (immature)","N,P,K",lb of fruit,81,4.715789474,0.5,1.315789474,1
"Bean-Kidney, for seed","N,P,K",cwt,10.75,3.985707865,0.443333333,1.066666667,100
"Bean-Kidney, for straw","N,P,K",lb straw/cwt grain,12.3,1.274971942,0.151967826,1.594927048,
"Bean-Lima(baby), for pod with seeds","N,P",lb of fruit,69,3.664516129,0.564516129,#DIV/0!,1
"Bean-Lima, for pod with seeds","N,P,K",lb of fruit,71,3.475862069,0.5,0.896551724,1
"Bean-Lima, for seed","N,P,K",cwt,9.98,3.594547486,0.408058659,1.854860335,100
"Bean-Lima, for straw","N,P,K",ton,10.95,1.198629256,0.14295174,1.142390572,"2,000"
"Bean-Navy, for seed","N,P,K",cwt,10.38,4.028666667,0.608333333,1.432777778,100
"Bean-Navy, for straw","N,P,K",lb straw/cwt grain,10.93,1.155962589,0.14530116,1.141593715,
Bean-Snap for seed (dry),N,cwt,10,4,#DIV/0!,#DIV/0!,100
"Bean-Snap, for pod with seeds (immature)","N,P,K",lb of fruit,87.75,2.995652174,0.498695652,2.304347826,1
Beechnut (dry),N,lb of nut,6.6,1.062098501,#DIV/0!,#DIV/0!,1
"Beet-Red Table, for root","N,P,K",lb of root,87.46,2.145927273,0.323538462,2.457552389,25
"Beet-Red Table, for top","N,P,K",lb of leaf,87.95,3.686,0.44,6.26,35
"Bentgrass-Colonial, for hay","N,P,K",ton,13.1,1.136,0.2,1.6,"2,000"
"Bermudagrass, for green chop","N,P,K",ton,70.88,1.878,0.1925,1.9575,"2,000"
"Bermudagrass, for green chop (early to mid bloom)","N,P,K",ton,68.33,1.735047619,0.21,1.735714286,"2,000"
"Bermudagrass, for green chop (full bloom to mature)","N,P,K",ton,68.33,1.518380952,0.19,1.3,"2,000"
"Bermudagrass, for green chop (pre bloom)","N,P,K",ton,75,2.75,0.23,2.13,"2,000"
"Bermudagrass, for hay","N,P,K",ton,9.05,1.374556169,0.189986188,1.549765193,"2,000"
"Bermudagrass, for hay (early to mid bloom)",N,ton,11.05,1.61,#DIV/0!,#DIV/0!,"2,000"
"Bermudagrass, for hay (full bloom to mature)",N,ton,11.4,1.198,#DIV/0!,#DIV/0!,"2,000"
"Bermudagrass, for hay (pre bloom)",N,ton,12.2,2.354,#DIV/0!,#DIV/0!,"2,000"
Blackberry,"N,P,K",lb of fruit ,85.64,0.802228412,0.146239554,1.364902507,11
Blackeye pea or Cowpea or Southern Pea,"N,P,K",cwt,85,3.52,0.52,1.466666667,100
Blueberry,"N,P,K",lb of fruit ,84.61,0.696556205,0.064977258,0.578297596,11
"Bluegrass, for green chop","N,P,K",ton,68.85,2.913907285,0.430463576,1.953642384,"2,000"
"Bluegrass, for green chop (early bloom)","N,P,K",ton,64.3,2.352,0.29,2.14,"2,000"
"Bluegrass, for green chop (full bloom)","N,P,K",ton,67.1,1.168,0.27,1.37,"2,000"
"Bluegrass, for green chop (mid bloom)","N,P,K",ton,70.7,2,0.31,1.97,"2,000"
"Bluegrass, for hay","N,P,K",ton,10.3,1.76,0.27,1.72,"2,000"
"Bluegrass, for hay (full bloom)",N,ton,11.1,1.68,#DIV/0!,#DIV/0!,"2,000"
"Bluegrass-Kentucky, for green chop","N,P,K",ton,70.47,2.603302428,0.396821192,1.967880795,"2,000"
"Bluegrass-Kentucky, for green chop (early bloom)","N,P,K",ton,65.07,2.656,0.37,2.01,"2,000"
"Bluegrass-Kentucky, for green chop (full bloom)","N,P,K",ton,65.35,2.115384615,0.282362637,2.005494506,"2,000"
"Bluegrass-Kentucky, for green chop (mature)",N,ton,66.6,1.285,#DIV/0!,#DIV/0!,"2,000"
"Bluegrass-Kentucky, for green chop (mid bloom)","N,P,K",ton,69.38,2.298424242,0.31,1.99,"2,000"
"Bluegrass-Kentucky, for hay","N,P,K",ton,10.95,1.602331096,0.283003356,1.922002237,"2,000"
"Bluegrass-Kentucky, for hay (early bloom)",N,ton,10,1.952,#DIV/0!,#DIV/0!,"2,000"
"Bluegrass-Kentucky, for hay (full bloom)","N,P,K",ton,7.9,1.424,0.27,1.52,"2,000"
"Bluegrass-Kentucky, for hay (mature)","N,P,K",ton,11.86,1.006403666,0.229773769,1.698825888,"2,000"
"Bluegrass-Kentucky, for hay (mid bloom)","N,P",ton,13.45,1.723,0.24,#DIV/0!,"2,000"
"Bluestem, for green chop","N,P,K",ton,60.35,1.346486804,0.146627566,1.348973607,"2,000"
"Bluestem, for green chop (early bloom)",N,ton,65.8,1.68,#DIV/0!,#DIV/0!,"2,000"
"Bluestem, for green chop (full bloom)","N,P",ton,29.6,#DIV/0!,0.13,#DIV/0!,"2,000"
"Bluestem, for green chop (mature)","N,P,K",ton,42.52,1.009433071,0.126948819,0.51,"2,000"
"Bluestem, for hay",N,ton,10.83,0.896267898,#DIV/0!,#DIV/0!,"2,000"
"Bluestem, for hay (early bloom)",N,ton,20,1.4,#DIV/0!,#DIV/0!,"2,000"
"Bluestem, for hay (full bloom)",N,ton,20,1.1,#DIV/0!,#DIV/0!,"2,000"
"Bluestem, for hay (mature)",N,ton,20,0.7,#DIV/0!,#DIV/0!,"2,000"
"Brazilnut (dry, unblanched)","N,P,K",lb of nut,3.34,2.373680944,0.620732464,0.620732464,1
Breadfruit,"N,P,K",lb of fruit ,70.65,0.58330494,0.102214651,1.669505963,15
"Broccoli, for stem",N,lb of stem ,54.9,3.376,#DIV/0!,#DIV/0!,23
"Broccoli, for stem and immature floral parts","N,P,K",lb of stem ,89.7,5.646666667,0.753333333,3.545,23
"Bromegrass, for green chop","N,P,K",ton,64.4,2.144,0.285,2.19,"2,000"
"Bromegrass, for green chop (late bloom)",N,ton,72.6,1.792,#DIV/0!,#DIV/0!,"2,000"
"Bromegrass, for green chop (mature)","N,P,K",ton,44,1.024,0.26,1.25,"2,000"
"Bromegrass, for hay","N,P,K",ton,8.93,1.530666667,0.16,1.64,"2,000"
"Bromegrass, for hay (early bloom)","N,P,K",ton,7.1,1.736,0.325,1.91,"2,000"
"Bromegrass, for hay (mature)","N,P,K",ton,8.63,1.061333333,0.086666667,1.9,"2,000"
"Bromegrass, for seed","N,K",cwt,55.8,1.552,#DIV/0!,0.93,100
"Bromegrass-Smooth, for green chop","N,P,K",ton,67.6,2.176,0.32,3.16,"2,000"
"Bromegrass-Smooth, for green chop (full bloom)","N,P,K",ton,71.3,1.885777778,0.28,2.33,"2,000"
"Bromegrass-Smooth, for green chop (mature)","N,P,K",ton,45.5,0.836264151,0.19245283,0.34,"2,000"
"Bromegrass-Smooth, for green chop (mid bloom)",N,ton,70,2.24,#DIV/0!,#DIV/0!,"2,000"
"Bromegrass-Smooth, for green chop (pre bloom)",N,ton,74.7,3.024,#DIV/0!,#DIV/0!,"2,000"
"Bromegrass-Smooth, for hay","N,P,K",ton,10.48,2.027342342,0.230990991,2.203761261,"2,000"
"Bromegrass-Smooth, for hay (full bloom)","N,K",ton,10.63,1.661863014,#DIV/0!,1.43,"2,000"
"Bromegrass-Smooth, for hay (mature)","N,P,K",ton,6.83,0.98,0.192765957,2.305,"2,000"
"Bromegrass-Smooth, for hay (mid bloom)","N,P,K",ton,12.4,1.968,0.28,1.99,"2,000"
"Bromegrass-Smooth, for hay (late vegetative)","N,P,K",ton,8.8,3.152,0.46,3.41,"2,000"
"Bromegrass-Smooth, for hay (pre bloom)",N,ton,9.7,1.93145515,#DIV/0!,#DIV/0!,"2,000"
"Bromegrsss, for hay (late bloom)","N,P,K",ton,12.9,1.192,0.35,2.32,"2,000"
"Brussel Sprouts, for bud","N,P,K",lb of fruit ,86.6,4.981333333,0.5125,3.25,25
"Buckwheat (ordinary cultivars), for grain","N,P,K",bu,12.2,1.937932723,0.360568182,0.510340909,48
"Buckwheat (ordinary cultivars), for straw","N,P,K",ton,11.32,0.791639892,0.101286682,2.619334086,"2,000"
Butternut (dry),"N,P,K",lb of nut,3.34,4.121663563,0.461411132,0.435547279,1
"Cabbage, for head (with outer leaves)","N,P,K",lb of leaf,90.8,3.454468085,0.354787234,2.727730497,50
"Cabbage, for head (without outer leaves)","N,P,K",lb of leaf,91.7,3.034245614,0.384912281,3.163157895,50
"Cabbage, for waste (outer leaves)","N,P",lb of leaf,85.75,2.664556962,0.21,#DIV/0!,1
Cabbage-Chinese,"N,P,K",lb of leaf,93,3.085714286,0.485714286,2.928571429,40
Cabbage-Red,"N,P,K",lb of leaf,92,2.8,0.525,2.375,50
Cabbage-White,"N,P,K",lb of leaf,92,2.4,0.425,2.75,50
"Canarygrass-Reed, for green chop","N,P,K",ton,75.8,2.424,0.33,3.64,"2,000"
"Canarygrass-Reed, for green chop (early bloom)","N,P",ton,76.1,2.12,0.2,#DIV/0!,"2,000"
Cherry (sweet),"N,P,K",lb of fruit ,81.38,1.073960499,0.098752599,1.164241164,18
Chestnut-Chinese,"N,P,K",lb of fruit ,43.95,1.198929527,0.171275647,0.79750223,18
Chestnut-European,"N,P,K",lb of fruit,48.65,0.754040896,0.181110029,1.008763389,1
Chestnut-Japanese,"N,P,K",lb of fruit,61.41,0.932884167,0.186576833,0.852552475,1
"Chicory, for green chop",N,ton,82.6,0.0352,#DIV/0!,#DIV/0!,"2,000"
Chive,"N,P,K",lb of leaf,92,5.6,0.6375,3.125,1
"Clover + Timothy, for hay","N,P,K",ton,11.1,1.488,0.17,1.81,"2,000"
"Canarygrass-Reed, for hay (vegetative)","N,P",ton,8.25,2.64,0.24,#DIV/0!,"2,000"
"Canola, for seed","N,P,K",cwt,8.93,3.888736648,0.62,0.98,100
"Canola, for straw",N,lb straw/cwt grain,20.3,0.56,#DIV/0!,#DIV/0!,
Carambola,"N,P,K",lb of fruit ,90.92,0.95154185,0.176211454,1.795154185,22
Carissa,"N,P,K",lb of fruit,84.17,0.505369551,0.044219836,1.642451042,1
"Carrot, for root","N,P,K",lb of root,88,1.510773109,0.328355742,2.430168067,25
"Canarygrass-Reed, for green chop (mature)","N,P",ton,70,1.248,0.2,#DIV/0!,"2,000"
"Canarygrass-Reed, for green chop (mid bloom)","N,P,K",ton,74.7,1.984,0.28,2.4,"2,000"
"Canarygrass-Reed, for green chop (vegetative)","N,P,K",ton,76.25,2.528,0.4,3.31,"2,000"
"Canarygrass-Reed, for hay","N,P,K",ton,10.97,1.701333333,0.283333333,2.99,"2,000"
"Canarygrass-Reed, for hay (early bloom)","N,P,K",ton,8.1,2.184,0.47,2.62,"2,000"
"Canarygrass-Reed, for hay (mature)","N,P",ton,7.9,1.424,0.145,#DIV/0!,"2,000"
"Canarygrass-Reed, for hay (mid bloom)","P,K",ton,8.1,#DIV/0!,0.31,2.07,"2,000"
"Carrot, for top","N,P,K",lb of stem and leaf,83.83,2.349666667,0.1875,1.875,1
"Cauliflower, for immature inflorescence","N,P,K",lb of fruit ,90.88,4.42631579,0.664473684,3.22,50
Celery-Green,"N,P,K",lb of stem ,94.55,2.424,0.66,4.8,60
Celery-Self-blanching,"N,P,K",lb of stem ,96,2.8,0.675,4,60
"Chard-Swiss, for immature leaf","N,P,K",lb of leaf,92,3.6,0.575,3,35
Cherimoya,"N,P",lb of fruit,73.5,0.78490566,0.150943396,#DIV/0!,1
"Cherry (sour, red)","N,P,K",lb of fruit ,86.13,1.153568854,0.10814708,1.247296323,18
"Clover-Alsike, for green chop","N,P,K",ton,77.2,2.8876,0.285681818,2.7,"2,000"
"Clover-Alsike, for green chop (full bloom)","N,P,K",ton,75.87,2.496063492,0.260777509,2.582372881,"2,000"
"Clover-Alsike, for green chop (mid bloom)","N,P,K",ton,76.4,2.512,0.25,2.58,"2,000"
"Clover-Alsike, for hay","N,P,K",ton,12.56,2.266845444,0.254679415,2.48116423,"2,000"
"Clover-Alsike, for hay (early bloom)",N,ton,17.85,2.632,#DIV/0!,#DIV/0!,"2,000"
"Clover-Alsike, for hay (full bloom)","N,P,K",ton,10.35,2.362247191,0.280898876,2.550561798,"2,000"
"Clover-Alsike, for hay (mid bloom)","N,P,K",ton,11,2.416,0.28,2.55,"2,000"
"Clover-Crimson, for green chop","N,P,K",ton,80.78,2.737579888,0.275356081,3.100862069,"2,000"
"Clover-Crimson, for green chop (late bloom)",N,ton,84.1,2.816,#DIV/0!,#DIV/0!,"2,000"
"Clover-Crimson, for hay","N,P,K",ton,11.75,2.654096389,0.224392347,2.759329609,"2,000"
"Clover-Crimson, for hay (early bloom)",N,ton,15.1,3.776,#DIV/0!,#DIV/0!,"2,000"
"Clover-Crimson, for hay (late bloom)",N,ton,13.9,2.624,#DIV/0!,#DIV/0!,"2,000"
"Clover-Red + Grass, for hay","N,P,K",ton,11.6,2.272,0.23,1.42,"2,000"
"Clover-Red + Grass, for hay (full bloom)",N,ton,11.3,2.528,#DIV/0!,#DIV/0!,"2,000"
"Clover-Red + Grass, for hay (mature)","N,P",ton,8.6,1.776,0.25,#DIV/0!,"2,000"
"Clover-Red + Grass, for hay (mid bloom)","N,P,K",ton,10.8,2.656,0.23,1.59,"2,000"
"Clover-Red + Timothy, for hay","P,K",ton,9.6,#DIV/0!,0.17,1.52,"2,000"
"Clover-Red, for green chop","N,P,K",ton,77.5,2.921061225,0.29372449,2.401632653,"2,000"
"Clover-Red, for green chop (early bloom)","N,P,K",ton,80.15,3.104,0.38,2.49,"2,000"
"Clover-Red, for green chop (full bloom)","N,P,K",ton,73.58,2.374716484,0.284917582,1.964505495,"2,000"
"Clover-Red, for green chop (late vegetative)",N,ton,75,3.4,#DIV/0!,#DIV/0!,"2,000"
"Clover-Red, for green chop (mid bloom)","N,P,K",ton,74.27,2.424986301,0.284863014,1.98,"2,000"
"Clover-Red, for hay","N,P,K",ton,13.95,2.507601359,0.261625142,1.887157418,"2,000"
"Clover-Red, for hay (early bloom)","N,P,K",ton,12.53,2.394049187,0.309455165,1.909551646,"2,000"
"Clover-Red, for hay (full bloom)","N,P,K",ton,13.55,2.42703689,0.249455165,1.859701097,"2,000"
"Clover-Red, for hay (late vegetative)",N,ton,15,3.35,#DIV/0!,#DIV/0!,"2,000"
"Clover-Red, for hay (mature)","N,P,K",ton,8.8,1.936,0.21,1.7,"2,000"
"Clover-Red, for hay (mid bloom)","N,P,K",ton,11.7,2.458049187,0.279455165,1.553034431,"2,000"
"Clover-Red, for seed","N,P",cwt,12.23,5.892571429,0.61,#DIV/0!,100
"Clover-White, for green chop","N,P,K",ton,81.9,4.255685393,0.473904494,2.221207865,"2,000"
"Clover-White, for green chop (full bloom)","N,P",ton,82.1,4.528,0.44,#DIV/0!,"2,000"
"Clover-White, for hay","N,P,K",ton,9.73,3.089409091,0.352045455,2.25,"2,000"
"Clover-White, for hay (full bloom)",N,ton,7.6,3.216,#DIV/0!,#DIV/0!,"2,000"
"Clover-White, for hay (late bloom)",N,ton,12.4,2.768,#DIV/0!,#DIV/0!,"2,000"
"Clover-White, for hay (mature)",N,ton,7.8,2.256,#DIV/0!,#DIV/0!,"2,000"
"Clover-White-Ladino type + Grass, for green chop","N,P",ton,80,2.8,0.4,#DIV/0!,"2,000"
"Clover-White-Ladino type + Grass, for green chop (early bloom)",N,ton,80,2.448,#DIV/0!,#DIV/0!,"2,000"
"Clover-White-Ladino type + Grass, for hay","N,P,K",ton,11.25,2.918278596,0.227587769,1.962627407,"2,000"
"Clover-White-Ladino type + Grass, for hay (mature)","N,P,K",ton,8.5,1.808,0.22,1.75,"2,000"
"Clover-White-Ladino type + Timonth, for silage","N,P,K",ton,70.6,3.168,0.2,2.22,"2,000"
"Clover-White-Ladino type, for green chop","N,P,K",ton,80.94,3.953580723,0.410421687,1.94936747,"2,000"
"Clover-White-Ladino type, for green chop (early bloom)","P,K",ton,64.6,#DIV/0!,0.31,3.17,"2,000"
"Clover-White-Ladino type, for hay","N,P,K",ton,10.82,3.324152957,0.323149297,2.431145251,"2,000"
"Clover-White-Ladino type, for hay (early bloom)","N,P",ton,7.57,3.52959276,0.31,#DIV/0!,"2,000"
"Clover-White-Ladino type, for hay (mature)","N,P,K",ton,8.9,2.528,0.25,2.16,"2,000"
"Coconut, for meat","N,P,K",lb of fruit ,46.99,1.005093379,0.213167327,0.671571402,40
"Coconut, for milk","N,P,K",lb of fruit ,67.62,1.131562693,0.308832613,0.812229771,40
"Corn-Field, for grain (shelled, yellow dent, grade #1)","N,P,K",bu,13.52,1.637313016,0.312586636,0.344444444,56
"Corn-Field, for silage (dough stage)","N,P,K",ton,71.2,1.2356,0.185,1.04,"2,000"
"Corn-Field, for silage (mature)","N,P,K",ton,70.08,1.295144928,0.378405797,1.035652174,"2,000"
"Corn-Field, for silage (milk stage)","N,P,K",ton,76.87,1.418666667,0.24,1.465,"2,000"
"Corn-Field, for stover (yield less than 95 bu/acre, mature, without ear, dry)","N,P,K",lb stover/bu grain,13.3,0.983381898,0.099834437,1.503647903,
