Crop,NuContAvailable,YieldUnit,AvMoisture%,AvN%,AvP%,AvK%,YieldUnitWeight(lb)_set
"Pistachio, for nuts (dry)","N,P,K",lb of nut,3.87,3.42536149,0.523249766,1.137001977,1
Pitanga,"N,P,K",lb of fruit,90.81,1.392818281,0.119695321,1.12078346,1
Plantain,"N,P,K",lb of fruit ,65.28,0.599078341,0.097926267,1.437211982,25
Plum,"N,P,K",lb of fruit ,85.2,0.854054054,0.067567568,1.162162162,30
Pomegranate (without skin),"N,P,K",lb of fruit ,80.97,0.798738833,0.042038886,1.361008933,22
Potato-Irish for tuber,"N,P,K",cwt,77.2,1.608220035,0.247037645,1.997419561,100
"Potato-Irish, for vine","N,P,K",ton,48.9,2.24,0.2,3.95,"2,000"
"Prairie (Marsh), for hay","N,P,K",ton,11.8,1.584,0.11,0.77,"2,000"
"Prairie (Meadow), for hay (intermountain area)","N,P",ton,6.5,1.328,0.16,#DIV/0!,"2,000"
"Prairie, for hay (Colorado, Wyoming)",N,ton,5.5,1.185185185,#DIV/0!,#DIV/0!,"2,000"
"Prairie, for hay (Kansas, Oklahoma)","N,P",ton,9.5,0.777900552,0.077348066,#DIV/0!,"2,000"
"Prairie, for hay (Midwest, Minnesota, South Dakota)","N,P,K",ton,10.3,1.054986425,0.132217195,1.08,"2,000"
"Prairie, for hay (western, early cut)","N,P,K",ton,9,1.296703297,0.208791209,1.076923077,"2,000"
"Prairie, for hay (western, mature and weathered)","N,P",ton,9.05,0.594272035,0.05632209,#DIV/0!,"2,000"
"Prairie, for hay (western, mature)","N,P,K",ton,8.1,0.761697497,0.087051143,0.794341676,"2,000"
"Prairie, for hay (western, mid-season cut)","N,P",ton,8.7,1.051478642,0.13143483,#DIV/0!,"2,000"
Pricklypear (without skin),"N,P,K",lb of fruit,87.55,0.93815261,0.192771084,1.767068273,1
Pummelo (without skin),"N,P,K",lb of fruit,89.1,1.11559633,0.155963303,1.981651376,1
Pumpkin,"N,P,K",lb of fruit ,90.67,2.585038462,0.393653846,2.779038462,1000
Quince,"N,P,K",lb of fruit ,83.8,0.395061728,0.104938272,1.216049383,22
"Radish, for root, cultivar 'Icicle'","N,P,K",lb of root,94,2.933333333,0.466666667,4.666666667,35
"Radish, for root, cultivar 'Scarlet Globe'","N,P,K",lb of root,94,1.866666667,0.45,3.166666667,35
"Radish-Chinese Winter, for root","N,P,K",lb of root,94,1.6,0.4,3.166666667,35
Raspberry,"N,P,K",lb of fruit ,86.57,1.084139985,0.089352197,1.13179449,6
"Redtop, for green chop","N,P,K",ton,73.57,2.032,0.38,2.196666667,"2,000"
"Redtop, for hay","N,P,K",ton,8.44,1.30737157,0.215376663,1.888991228,"2,000"
"Redtop, for hay (full bloom)","N,P,K",ton,7,1.504,0.35,1.69,"2,000"
"Redtop, for hay (late vegetative)","N,P,K",ton,8,2.208,0.15,2.39,"2,000"
"Redtop, for hay (mature)",N,ton,8.3,0.944,#DIV/0!,#DIV/0!,"2,000"
"Redtop, for hay (mid bloom)",N,ton,7.2,1.92,#DIV/0!,#DIV/0!,"2,000"
"Rhubarb, for fruit","N,P,K",lb of fruit,93.61,2.253521127,0.219092332,4.507042254,1
"Rhubarb, for leaf petiole","N,P,K",lb of leaf,92,1.4,0.25,4.5,15
"Rice-Rough, for grain","N,P,K",cwt,11.33,1.386730857,0.286220466,0.453220721,100
"Rice, for straw","N,P,K",lb straw/cwt grain,9.18,0.709101759,0.084112084,1.47722973,
Rose-apple,"N,P,K",lb of fruit,93,1.371428571,0.114285714,1.757142857,1
Roselle,"N,P,K",lb of fruit,86.58,1.144560358,0.275707899,1.549925484,1
Rutabaga,"N,P,K",lb of root,90,1.92,0.41,2.2,1
"Rye, for grain","N,P,K",bu,11.88,2.139235697,0.379510973,0.518784916,56
"Rye, for green chop","N,P,K",ton,79.6,2.842666667,0.376666667,3.12,"2,000"
"Rye, for green chop (dough stage)","N,P",ton,66.6,2.144,0.3,#DIV/0!,"2,000"
"Rye, for green chop (mature)","N,P",ton,76.6,1.392888889,0.256410256,#DIV/0!,"2,000"
"Rye, for hay","N,P,K",ton,7.38,1.213701516,0.218438996,1.237513691,"2,000"
"Rye, for hay (dough stage)",N,ton,6.9,1.68,#DIV/0!,#DIV/0!,"2,000"
"Rye, for hay (mature)",N,ton,9.1,1.296,#DIV/0!,#DIV/0!,"2,000"
"Rye, for straw","N,P,K",lb straw/bu grain,9.07,0.504688814,0.09424569,0.969956897,90
"Ryegrass-Perennial, for green chop","N,P,K",ton,76.88,1.86312782,0.281578947,2.548646617,"2,000"
"Ryegrass-Perennial, for green chop (early vegetative)","N,P,K",ton,79.13,3.966666667,0.4,3.08,"2,000"
"Ryegrass-Perennial, for green chop (late vegetative)",N,ton,75,2,#DIV/0!,#DIV/0!,"2,000"
"Ryegrass-Perennial, for green chop (mid bloom)",N,ton,69.85,1.548,#DIV/0!,#DIV/0!,"2,000"
"Ryegrass-Perennial, for hay","N,P,K",ton,12.74,1.485349706,0.196247216,1.420227273,"2,000"
"Ryegrass-Perennial, for hay (early vegetative)",N,ton,8.6,2.24,#DIV/0!,#DIV/0!,"2,000"
"Ryegrass-Perennial, for hay (late vegetative)",N,ton,15,1.85,#DIV/0!,#DIV/0!,"2,000"
"Ryegrass-Perennial, for hay (mature)","N,P",ton,14.3,0.888,0.065,#DIV/0!,"2,000"
"Ryegrass-Perennial, for hay (mid bloom)",N,ton,15,1.3,#DIV/0!,#DIV/0!,"2,000"
"Safflower, for seed","N,P,K",cwt,7.6,2.672859291,0.6,0.75,100
"Saltgrass, for hay","N,P",ton,10.77,1.424,0.1,#DIV/0!,"2,000"
Sapodilla,"N,P,K",lb of fruit,78,0.32,0.054545455,0.877272727,1
Sapote,"N,P,K",lb of fruit,62.43,0.902848017,0.074527549,0.915624168,1
"Sesame, for seed","N,P,K",cwt,6.88,3.657367955,0.773623188,0.5,100
"Smooth Brome + Alfalfa, for green chop","N,P,K",ton,77.63,3.322074074,0.310555556,2.8,"2,000"
"Smooth Brome + Alfalfa, for hay","N,P,K",ton,11.58,2.41770852,0.271053812,1.897746637,"2,000"
"Smooth Brome + Alfalfa, for hay (cut 1)","N,P,K",ton,10.1,2.192,0.295,1.4,"2,000"
"Smooth Brome + Alfalfa, for hay (cut 2)","N,P",ton,10.2,2.192,0.21,#DIV/0!,"2,000"
"Sorghum, for grain","N,P,K",bu,11.18,1.867377828,0.332736562,0.386734323,56
"Sorghum, for green chop","N,P,K",ton,76.85,1.368,0.24,2.51,"2,000"
"Sorghum, for green chop (dough stage)","N,P",ton,72.17,1.162666667,0.21,#DIV/0!,"2,000"
"Sorghum, for green chop (mid bloom)","N,P,K",ton,75.8,1.424,0.215,1.11,"2,000"
"Sorghum, for green chop (milk stage)","N,P,K",ton,74.95,1.184963855,0.193493976,1.521927711,"2,000"
"Sorghum, for silage","N,P,K",ton,71.6,1.012,0.21,1.11,"2,000"
"Sorghum, for silage (dough stage)","N,P,K",ton,73.9,0.968,0.2,1.11,"2,000"
"Sorghum, for silage (early bloom)","N,P,K",ton,71.9,0.992,0.2,1.11,"2,000"
"Sorghum, for silage (mature)","N,P,K",ton,66.1,1.2,0.2,1.11,"2,000"
"Sorghum, for silage (milk state)","N,P,K",ton,75.2,1.344,0.185,1.145,"2,000"
"Sorghum, for stover","N,P,K",lb straw/bu grain,8.13,0.67210989,0.12896978,0.73,
"Sorghum/Sudangrass, for grain",N,bu,8.3,2.330666667,#DIV/0!,#DIV/0!,40
"Sorghum/Sudangrass, for green chop","N,P,K",ton,78.25,1.848,0.23,2.565,"2,000"
"Sorghum/Sudangrass, for green chop (early bloom)","N,P,K",ton,76.6,1.28,0.3,1.45,"2,000"
"Sorghum/Sudangrass, for green chop (full bloom)","N,P,K",ton,74.5,1.410666667,0.3,1.58,"2,000"
"Sorghum/Sudangrass, for green chop (mature)","N,P,K",ton,70,0.88,0.21,1.82,"2,000"
"Sorghum/Sudangrass, for green chop (vegetative)","N,P,K",ton,82.05,2.547333333,0.41,2.275,"2,000"
"Sorghum/Sudangrass, for hay","N,P,K",ton,7.83,1.779429778,0.291143963,2.15,"2,000"
"Sorghum/Sudangrass, for silage","N,P,K",ton,77,1.638,0.21,2.61,"2,000"
"Sorghum/Sudangrass, for straw",N,ton,9.6,1.312,#DIV/0!,#DIV/0!,"2,000"
Soursop,"N,P,K",lb of fruit,81.16,0.8492569,0.143312102,1.475583864,1
"Soybean, for grain","N,P,K",bu,10.12,6.567758454,0.672763285,1.541666667,60
"Soybean, for green chop","N,P,K",ton,76.85,2.9395,0.282916667,0.919166667,"2,000"
"Soybean, for green chop (early bloom)",N,ton,80,2.55,#DIV/0!,#DIV/0!,"2,000"
"Soybean, for green chop (full bloom)","N,P,K",ton,82.27,2.934923077,0.288461538,1.057692308,"2,000"
"Soybean, for green chop (mature)","N,P,K",ton,75.8,2.644628099,0.289256198,0.867768595,"2,000"
"Soybean, for green chop (mid bloom)","N,P,K",ton,78.93,2.774923077,0.289487179,1.059230769,"2,000"
"Soybean, for hay","N,P,K",ton,10.66,2.571179594,0.244972726,1.105743473,"2,000"
"Soybean, for hay (early bloom)","N,P",ton,11.23,3.01669697,0.388787879,#DIV/0!,"2,000"
"Soybean, for hay (full bloom)",N,ton,11.7,2.24,#DIV/0!,#DIV/0!,"2,000"
"Soybean, for hay (mature)","N,P,K",ton,10.27,2.454363636,0.28469697,0.880909091,"2,000"
"Soybean, for hay (mid-bloom)","N,P,K",ton,7.1,2.44,0.27,0.97,"2,000"
"Soybean, for immature seed","N,P,K",lb of seed,73,5.333333333,0.218518519,0.777777778,1
"Soybean, for straw","N,P,K",lb straw/bu grain,11.07,0.832386256,0.058747657,0.572058493,60
Spinach,"N,P,K",lb of leaf,90.64,5.2056,0.556,5.6625,32
Spinach-New Zealand,"N,P,K",lb of leaf,94,4,0.466666667,2.166666667,32
"Squash Straight neck, for immature fruit (summer)","N,P,K",lb of fruit ,94,2.666666667,0.466666667,3,42
"Squash-Acorn, for mature fruit (winter)","N,P,K",lb of fruit ,86,0.914285714,0.257142857,3.714285714,50
"Squash-Balsampear, for immature fruit (summer)","N,P",lb of fruit ,94,2.933333333,0.466666667,#DIV/0!,42
"Squash-Butternut, for mature fruit (winter)","N,P,K",lb of fruit ,85,1.066666667,0.22,2.666666667,50
"Squash-Chinese wintermelon, for mature fruit (winter)","N,P,K",lb of fruit ,96,0.8,0.175,5,50
"Squash-Chinese, for immature fruit (summer)","N,P",lb of fruit ,94,2.666666667,0.383333333,#DIV/0!,42
"Squash-Crockneck, for immature fruit (summer)","N,P,K",lb of fruit ,92,2.8,0.475,2.375,42
"Squash-Hubbard, for mature fruit (winter)","N,P,K",lb of fruit ,88,2.666666667,0.175,2.666666667,50
"Squash-Pink Banana, for mature fruit (winter)","N,P,K",lb of fruit ,91,3.555555556,0.422222222,3.666666667,50
"Squash-Scallop, for immature fruit (summer)","N,P,K",lb of fruit ,93,2.742857143,0.514285714,2.142857143,42
"Squash-Zucchini, for immature fruit (summer)","N,P,K",lb of fruit ,95,3.84,0.64,4.4,42
Strawberry,"N,P,K",lb of fruit ,91.28,1.253884935,0.213523132,1.96915777,32
Sugar apple,"N,P,K",lb of fruit,73.23,1.231228988,0.119536795,0.922674636,1
"Sugarbeet, root with crown","N,P,K",ton,80.3,1.342682927,0.243902439,1.524390244,2000
"Sugarbeet, root without crown","N,P,K",ton,79.28,1.052,0.2175,1.543333333,2000
"Sugarbeet, top with crown","N,P,K",ton,83.03,2.433333333,0.225,5.79,2000
"Sugarbeet, top without crown","N,P,K",ton,82.1,2.457865169,0.224719101,5.786516854,2000
"Sugarcane, cane top + trash","N,P,K",ton,73.83,0.866,0.235,2.96,2000
"Sugarcane, millable cane (less than 12 month crop)","N,P,K",ton,35,0.088466667,0.020826667,0.229666667,2000
"Sugarcane, millable cane and trash (less than 12 month crop)","N,P,K",ton,35,0.111,0.016,0.167,2000
"Sunflower, for seed (with hull, confection type)","N,P,K",cwt,7.36,3.130988604,0.619111111,0.733025641,100
"Sunflower, for seed (with hull, oil type)","N,P,K",cwt,7.36,2.993186325,0.626388889,0.718782051,100
"Sunflower, for stover (yield less than 500 lb/acre)","N,P,K",lb stover/cwt fruit,13.3,0.86,0.11,1.94,
"Sunflower, for stover (yield more than 500 lb/acre)","N,P,K",lb stover/cwt fruit,13.3,0.86,0.11,1.94,
"Sweet Potato, for root","N,P,K",lb of root,68.85,0.909181818,0.150984848,1.036767677,40
"Sweet Potato, for vine",N,ton,78.1,2.048,#DIV/0!,#DIV/0!,"2,000"
"Sweetclover, for green chop","N,P,K",ton,75,2.874,0.27,1.65,"2,000"
"Sweetclover, for green chop (full bloom)","N,P,K",ton,67.3,2.688,0.22,1.44,"2,000"
"Sweetclover, for green chop (mid bloom)","N,P,K",ton,70.8,2.688,0.24,1.44,"2,000"
"Sweetclover, for green chop (pre bloom)","N,P",ton,79.2,3.152,0.48,#DIV/0!,"2,000"
"Sweetclover, for green chop (vegetative)","N,P,K",ton,80.3,3.472,0.44,2.95,"2,000"
"Sweetclover, for hay","N,P,K",ton,10.42,2.649712335,0.236055109,1.652559913,"2,000"
"Sweetclover, for hay (early bloom)",N,ton,17.4,2.768,#DIV/0!,#DIV/0!,"2,000"
"Sweetclover, for hay (full bloom)",N,ton,11.1,2.064,#DIV/0!,#DIV/0!,"2,000"
"Sweetclover, for hay (mature)","N,P,K",ton,8.95,1.824,0.185,0.8,"2,000"
"Sweetclover, for hay (vegetative)","N,P,K",ton,9.8,2.576,0.295,1.78,"2,000"
"Sweetclover, for seed",N,cwt,7.8,6.490950109,#DIV/0!,#DIV/0!,100
"Sweetclover, for silage","N,P,K",ton,70.7,2.857055928,0.21,1.955,"2,000"
"Sweetclover, for silage (early bloom)","N,P,K",ton,72.8,3.424,0.25,1.95,"2,000"
"Sweetclover, for silage (full bloom)","N,P,K",ton,68.6,2.992,0.235,1.695,"2,000"
"Sweetclover, for silage (pre bloom)","N,P,K",ton,65.2,3.44,0.25,1.95,"2,000"
"Switchgrass, for green chop","N,P",ton,44.85,0.944,0.09,#DIV/0!,"2,000"
"Switchgrass, for green chop ( mature)","N,P,K",ton,58.07,0.81631746,0.15,1.97,"2,000"
"Switchgrass, for green chop (full bloom)","N,P",ton,60.4,1.008,0.12,#DIV/0!,"2,000"
"Switchgrass, for green chop (over ripe)","N,P",ton,23.3,0.304,0.05,#DIV/0!,"2,000"
"Switchgrass, for green chop (vegetative)","N,P,K",ton,67.27,1.642805195,0.215,2.85,"2,000"
Tamarind,"N,P,K",lb of fruit,31.4,0.653061224,0.164723032,0.915451895,1
Tangerine,"N,P,K",lb of fruit ,87.6,0.812903226,0.080645161,1.266129032,43
"Taro, for corm","N,P",lb of corm,72,0.864,0.265,#DIV/0!,10
"Taro-Pink, for corm","N,P,K",lb of corm,80,0.8,0.535,2.5,10
"Taro-White, for corm","N,P,K",lb of corm,82,1.777777778,0.333333333,3.944444444,10
"Timothy + Alfalfa, for green chop (50% alfalfa)","N,P,K",ton,78.08,3.364748858,0.368824201,2.239360731,"2,000"
"Timothy + Alfalfa, for hay","N,P,K",ton,10.37,2.172886905,0.211071429,2.16,"2,000"
"Timothy + Alfalfa, for hay (cut 1)","N,P",ton,9.8,1.792,0.14,#DIV/0!,"2,000"
"Timothy + Alfalfa, for hay (cut 2)","N,P",ton,9,2.8,0.21,#DIV/0!,"2,000"
"Timothy + Clover, for hay","N,P,K",ton,11.1,1.488,0.17,1.81,"2,000"
"Timothy + Clover-Red, for hay","P,K",ton,9.6,#DIV/0!,0.17,1.52,"2,000"
"Timothy + Clover-White-Ladino type, for silage","N,P,K",ton,70.6,3.168,0.2,2.22,"2,000"
"Timothy, for green chop","N,P,K",ton,72.4,2.048,0.38,2.09,"2,000"
"Timothy, for green chop (early to mid bloom)","N,P,K",ton,73.05,1.578,0.3,2.06,"2,000"
"Timothy, for green chop (late bloom)","N,P,K",ton,73.65,1.065,0.21,1.68,"2,000"
"Timothy, for green chop (mature)","N,P,K",ton,69.6,0.963,0.18,1.57,"2,000"
"Timothy, for green chop (vegetative)","N,P,K",ton,74.45,2.406,0.43,2.54,"2,000"
"Timothy, for hay","N,P,K",ton,9.48,1.200544551,0.167447757,1.629129214,"2,000"
"Timothy, for hay (full bloom)","N,P,K",ton,12.2,1.205213483,0.233679775,1.826348315,"2,000"
"Timothy, for hay (mature)","N,P,K",ton,13.08,0.952264045,0.169513109,1.588089888,"2,000"
"Timothy, for hay (mid bloom)","N,P,K",ton,11.96,1.540957303,0.221488764,1.82,"2,000"
"Timothy, for hay (pre bloom)","N,P,K",ton,12.28,2.052714607,0.4,3.05,"2,000"
"Timothy, for hay (vegetative)","N,P,K",ton,13.65,2.25,0.34,1.9,"2,000"
"Timothy, for silage","N,P,K",ton,66.7,1.697070119,0.290315534,1.685711974,"2,000"
"Timothy, for silage (boot)","N,P,K",ton,66.3,1.5,0.24,1.59,"2,000"
"Timothy, for silage (early bloom)","N,P,K",ton,63.7,1.632,0.29,1.69,"2,000"
"Timothy, for silage (full bloom)","N,P,K",ton,64.3,1.552,0.29,1.69,"2,000"
"Timothy, for silage (milk stage)","N,P,K",ton,58.5,1.344,0.29,1.69,"2,000"
"Timothy, for silage (pre bloom)","N,P,K",ton,73.1,1.92,0.29,1.69,"2,000"
"Timothy, for silage (vegetative)","N,P,K",ton,70.3,1.872,0.32,1.69,"2,000"
"Tobacco-Air cured, Burley type","N,P,K",cwt,25,4,0.312,3.86,100
"Tobacco-Air cured, Havana Seed type","N,P,K",cwt,78.5,3.85,0.173,2.9,100
"Tobacco-Air cured, Maryland Broadleaf  type",N,cwt,18,3.1,#DIV/0!,#DIV/0!,100
Tobacco-Flue-cured,"N,P,K",cwt,20,2.133,0.2725,1.989,100
Tomato,"N,P,K",lb of fruit ,94,2.558023392,0.471052632,4.278701754,10
"Trefoil-Birdsfoot, for green chop","N,P,K",ton,80.13,3.162666667,0.24,2.786666667,"2,000"
"Trefoil-Birdsfoot, for green chop (early bloom)",N,ton,75,3.2,#DIV/0!,#DIV/0!,"2,000"
"Trefoil-Birdsfoot, for green chop (mid bloom to full bloom)","N,P,K",ton,78,2.63,0.27,2.98,"2,000"
"Trefoil-Birdsfoot, for hay","N,P,K",ton,9.97,2.517333333,0.226666667,1.886666667,"2,000"
"Trefoil-Birdsfoot, for hay (early bloom)",N,ton,12.8,3.11,#DIV/0!,#DIV/0!,"2,000"
"Trefoil-Birdsfoot, for hay (mid bloom to full bloom)",N,ton,10.7,2.252,#DIV/0!,#DIV/0!,"2,000"
"Triticale, for grain","N,P,K",bu,10.95,2.453661029,0.34,0.57,48
"Turnip, for green chop","N,P,K",ton,86.53,3.298,0.4225,3.015,"2,000"
"Turnip, for green chop","N,P,K",lb of leaf,87.3,3.488,0.51,3,1
"Turnip, for root","N,P,K",lb of root,91.06,2.242012903,0.318758961,2.732139785,50
"Vetch, for seed","N,P",lb of seed,9.55,4.608,0.59,#DIV/0!,1
"Vetch-Common, for green chop","N,P,K",ton,79.7,2.983098039,0.331045752,2.5,"2,000"
"Vetch-Common, for green chop (early bloom)","N,P,K",ton,75,3.7,0.26,3.15,"2,000"
"Vetch-Common, for green chop (full bloom)","N,P,K",ton,75,3,0.35,2.51,"2,000"
"Vetch-Common, for hay","N,P,K",ton,12.2,2.596629214,0.359850187,2.238127341,"2,000"
"Vetch-Common, for hay (early bloom)",N,ton,16,3.552,#DIV/0!,#DIV/0!,"2,000"
"Vetch-Common, for hay (full bloom)",N,ton,14.7,2.938,#DIV/0!,#DIV/0!,"2,000"
"Vetch-Hairy, for green chop (mid bloom)","N,P,K",ton,78.25,3.754,0.33,2.25,"2,000"
"Vetch-Hairy, for hay","N,P,K",ton,12.1,3.679821555,0.35628692,2.228636364,"2,000"
"Vetch-Hairy, for hay (vegetative)","N,P,K",ton,11.5,3.616,0.36,2.09,"2,000"
"Walnut-Black, for seed extracted from nut","N,P,K",lb of nut,4.36,4.073609369,0.485152656,0.547887913,1
Walnut-English or Persian,"N,P,K",lb of nut,3.65,2.373015049,0.329008822,0.521017125,1
"Wheat, for green chop","N,P",ton,73.55,2.336,0.31,#DIV/0!,"2,000"
"Wheat, for green chop (milk stage)",N,ton,73.4,1.92,#DIV/0!,#DIV/0!,"2,000"
"Wheat, for hay","N,P,K",ton,11.3,1.251017699,0.197278761,1.204026549,"2,000"
"Wheat, for hay (dough stage)",N,ton,17.45,1.28,#DIV/0!,#DIV/0!,"2,000"
"Wheat, for hay (mature)","N,P",ton,12.75,1.232,0.2,#DIV/0!,"2,000"
"Wheat, for hay (milk stage)",N,ton,15.7,1.456,#DIV/0!,#DIV/0!,"2,000"
"Wheat-Bread-Hard Red Spring, for grain","N,P,K",bu,11.45,2.703995561,0.434650388,0.41,60
"Wheat-Bread-Hard Red Winter, for grain","N,P,K",bu,11.68,2.303221477,0.434949664,0.486666667,60
"Wheat-Bread-Soft Red Winter, for grain","N,P,K",bu,11.44,1.943870852,0.373778027,0.453333333,60
"Wheat-Bread-Soft White Winter, for grain","N,P,K",bu,11.41,1.800168256,0.368823612,0.486666667,60
"Wheat-Durum, for grain","N,P,K",bu,11.83,2.432,0.423333333,0.503333333,60
"Wheatgrass, for green chop",N,ton,55.4,1.392,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass, for green chop (mature)",N,ton,39.5,1.44,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass, for green chop part (early bloom)",N,ton,63.4,1.456,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass, for hay","N,P",ton,8.37,1.343486506,0.07,#DIV/0!,"2,000"
"Wheatgrass, for hay (early bloom)","N,P,K",ton,8,1.376,0.27,2.67,"2,000"
"Wheatgrass, for hay (late bloom)",N,ton,10.2,0.848,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass, for hay (mature)","N,P",ton,9.6,0.848,0.1,#DIV/0!,"2,000"
"Wheatgrass-Bluebunch, for hay (over ripe)",N,ton,11.1,0.544,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass-Crested, for green chop","N,P,K",ton,54.25,1.872,0.14,1.72,"2,000"
"Wheatgrass-Crested, for green chop (early bloom)","N,P",ton,62.4,1.541333333,0.18,#DIV/0!,"2,000"
"Wheatgrass-Crested, for green chop (full bloom)","N,P,K",ton,61.27,1.188437218,0.15,1.04,"2,000"
"Wheatgrass-Crested, for green chop (mature)","N,P,K",ton,44.7,1.000833333,0.145833333,1.04,"2,000"
"Wheatgrass-Crested, for hay","N,P",ton,7.85,1.528,0.15,#DIV/0!,"2,000"
"Wheatgrass-Crested, for hay (early bloom)","N,P",ton,13.03,1.904444444,0.27,#DIV/0!,"2,000"
"Wheatgrass-Crested, for hay (full bloom)","N,P",ton,12.55,1.396,0.16,#DIV/0!,"2,000"
"Wheatgrass-Crested, for hay (mature)","N,P",ton,10.6,0.776,0.09,#DIV/0!,"2,000"
"Wheatgrass-Crested, for hay (mid bloom)",N,ton,3.6,1.832,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass-Intermediate, for hay","N,P,K",ton,9.95,1.303407407,0.19,1.65,"2,000"
"Wheatgrass-Slender, for hay","N,P,K",ton,8.93,1.396740741,0.254166667,2.679444444,"2,000"
"Wheatgrass-Slender, for hay (early bloom)",N,ton,5.4,1.936,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass-Slender, for hay (full bloom)",N,ton,6.8,1.472,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass-Slender, for hay (vegetative)",N,ton,7.1,2.88,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass-Tall, for hay",N,ton,11,1.264,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass-Thickspike, for hay",N,ton,8,1.2,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass-Western, for hay","N,P",ton,10.85,1.376,0.25,#DIV/0!,"2,000"
"Wheatgrass-Western, for hay (full bloom)",N,ton,6.6,1.376,#DIV/0!,#DIV/0!,"2,000"
"Wheatgrass-Western, for hay (mature)","N,P",ton,10.1,0.736,0.08,#DIV/0!,"2,000"
"Wheatgrass-Western, for hay (vegetative)","N,P",ton,11.8,1.92,0.21,#DIV/0!,"2,000"
"Wheat-Spelt, for grain","N,P",bu,10.17,2.128,0.42,#DIV/0!,40
"Wheat-Spelt, for straw",N,lb straw/bu grain,17.25,0.528,#DIV/0!,#DIV/0!,
"Wheat-Spring including Durum, for straw","N,P,K",lb straw/bu grain,9.22,0.63895731,0.063898488,1.173574514,
"Wheat-Winter, for straw","N,P,K",lb straw/bu grain,9.22,0.63895731,0.063898488,1.173574514,
"Wildrice, for grain","N,P,K",lb of caryopsis,37.5,2.64432,0.4995,0.489,1
"Wildrice, for straw","N,P,K",lb straw/lb grain,9.2,0.809,0.11,0.788,
Yam,"N,P,K",lb of tuber,74,1.107692308,0.25,2.307692308,50
Barbados Cherry,"N,P,K",lb of fruit,91.41,0.745052387,0.128055879,1.699650757,1
